framework,model,fit_time_s,recommend_latency_ms_per_user,peak_mem_mb,Recall@10,NDCG@10,HitRate@10,RMSE,MAE,n_eval_users
corerec,ALS,8.964,0.9763,142.5,0.23451,0.41681,0.93,,,300
corerec,GNNRec,,,,,,,,,
corerec,LightGCN,126.9811,11.9033,477.2,0.16648,0.33606,0.86333,,,300
corerec,NCF,308.0597,6.8279,388.0,0.17748,0.33429,0.87667,,,300
corerec,NCF_binary,79.3985,3.3559,375.0,0.17367,0.33487,0.86333,,,300
corerec,SAR,0.2085,1.2665,284.5,0.19899,0.37303,0.86667,,,300
corerec,SAR_cosine,0.1812,1.2574,303.3,0.20775,0.39554,0.89,,,300
corerec_hybrid,ALS_SAR_RRF,9.2743,2.5634,294.8,0.23823,0.44877,0.93333,,,300
implicit,ALS,0.5026,0.1133,134.0,0.23041,0.40995,0.92667,,,300
implicit,BPR,0.3108,0.0779,140.6,0.14463,0.32385,0.81333,,,300
implicit,ItemKNN,0.0755,0.1437,139.9,0.2069,0.38583,0.88,,,300
implicit_ensemble,ALS_KNN_RRF,0.4921,0.4245,138.9,0.24503,0.45527,0.92667,,,300
