framework,model,fit_time_s,recommend_latency_ms_per_user,peak_mem_mb,Recall@10,NDCG@10,HitRate@10,RMSE,MAE,n_eval_users
corerec,ALS,5.1251,1.3203,150.3,0.23451,0.41681,0.93,,,300
corerec,GNNRec,,,,,,,,,
corerec,LightGCN,150.9711,12.5671,930.3,0.17392,0.34445,0.86667,,,300
corerec,NCF,162.0981,4.4606,850.1,0.17656,0.33589,0.88,,,300
corerec,NCF_binary,83.5022,3.9102,831.5,0.16063,0.32356,0.86667,,,300
corerec,SAR,0.537,3.7309,282.6,0.19899,0.37303,0.86667,,,300
corerec,SAR_cosine,0.3462,1.9305,285.2,0.20775,0.39554,0.89,,,300
corerec_hybrid,ALS_SAR_RRF,5.3833,3.5088,288.8,0.23823,0.44928,0.93333,,,300
implicit,ALS,0.5573,0.0664,159.4,0.23041,0.40996,0.92667,,,300
implicit,BPR,1.4776,0.0719,160.3,0.13602,0.30685,0.80667,,,300
implicit,ItemKNN,0.0804,0.2727,159.2,0.2069,0.38583,0.88,,,300
implicit_ensemble,ALS_KNN_RRF,0.9909,0.3913,163.6,0.24503,0.45474,0.92667,,,300
