title,recommended_genres,true_genres
Toy Story (1995),['Comedy'],"['Animation', ""Children's"", 'Comedy']"
Jumanji (1995),['Drama'],"['Adventure', ""Children's"", 'Fantasy']"
Grumpier Old Men (1995),"['Comedy', 'Drama']","['Comedy', 'Romance']"
Waiting to Exhale (1995),"['Comedy', 'Drama']","['Comedy', 'Drama']"
Father of the Bride Part II (1995),['Comedy'],['Comedy']
Heat (1995),"['Crime', 'Thriller']","['Action', 'Crime', 'Thriller']"
Sabrina (1995),['Drama'],"['Comedy', 'Romance']"
Tom and Huck (1995),[],"['Adventure', ""Children's""]"
Sudden Death (1995),['Drama'],['Action']
GoldenEye (1995),['Drama'],"['Action', 'Adventure', 'Thriller']"
"American President, The (1995)",['Drama'],"['Comedy', 'Drama', 'Romance']"
Dracula: Dead and Loving It (1995),['Horror'],"['Comedy', 'Horror']"
Balto (1995),['Drama'],"['Animation', ""Children's""]"
Nixon (1995),['Drama'],['Drama']
Cutthroat Island (1995),"['Action', 'Adventure', 'Drama', 'Romance']","['Action', 'Adventure', 'Romance']"
Casino (1995),['Drama'],"['Drama', 'Thriller']"
Sense and Sensibility (1995),[],"['Drama', 'Romance']"
Four Rooms (1995),[],['Thriller']
Ace Ventura: When Nature Calls (1995),['Comedy'],['Comedy']
Money Train (1995),"['Action', 'Comedy']",['Action']
Get Shorty (1995),['Drama'],"['Action', 'Comedy', 'Drama']"
Copycat (1995),['Drama'],"['Crime', 'Drama', 'Thriller']"
Assassins (1995),['Drama'],['Thriller']
Powder (1995),['Drama'],"['Drama', 'Sci-Fi']"
Leaving Las Vegas (1995),"['Comedy', 'Drama']","['Drama', 'Romance']"
Othello (1995),['Drama'],['Drama']
Now and Then (1995),['Drama'],['Drama']
Persuasion (1995),['Drama'],['Romance']
"City of Lost Children, The (1995)",['Sci-Fi'],"['Adventure', 'Sci-Fi']"
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),['Drama'],['Drama']
Dangerous Minds (1995),['Drama'],['Drama']
Twelve Monkeys (1995),['Drama'],"['Drama', 'Sci-Fi']"
Wings of Courage (1995),['Romance'],"['Adventure', 'Romance']"
Babe (1995),"[""Children's"", 'Comedy', 'Drama']","[""Children's"", 'Comedy', 'Drama']"
Carrington (1995),['Drama'],"['Drama', 'Romance']"
Dead Man Walking (1995),['Drama'],['Drama']
Across the Sea of Time (1995),[],['Documentary']
It Takes Two (1995),['Comedy'],['Comedy']
Clueless (1995),['Drama'],"['Comedy', 'Romance']"
"Cry, the Beloved Country (1995)",['Drama'],['Drama']
Richard III (1995),[],"['Drama', 'War']"
Dead Presidents (1995),[],"['Action', 'Crime', 'Drama']"
Restoration (1995),['Drama'],['Drama']
Mortal Kombat (1995),"['Action', 'Thriller']","['Action', 'Adventure']"
To Die For (1995),['Drama'],"['Comedy', 'Drama']"
How to Make an American Quilt (1995),"['Drama', 'Romance']","['Drama', 'Romance']"
Seven (Se7en) (1995),"['Comedy', 'Thriller']","['Crime', 'Thriller']"
Pocahontas (1995),['Drama'],"['Animation', ""Children's"", 'Musical', 'Romance']"
When Night Is Falling (1995),['Drama'],"['Drama', 'Romance']"
"Usual Suspects, The (1995)",['Drama'],"['Crime', 'Thriller']"
Guardian Angel (1994),['Thriller'],"['Action', 'Drama', 'Thriller']"
Mighty Aphrodite (1995),['Drama'],['Comedy']
Lamerica (1994),[],['Drama']
"Big Green, The (1995)",['Drama'],"[""Children's"", 'Comedy']"
Georgia (1995),['Drama'],['Drama']
Kids of the Round Table (1995),"['Adventure', ""Children's""]","['Adventure', ""Children's"", 'Fantasy']"
Home for the Holidays (1995),[],['Drama']
"Postino, Il (The Postman) (1994)",['Drama'],"['Drama', 'Romance']"
"Confessional, The (Le Confessionnal) (1995)",['Drama'],"['Drama', 'Mystery']"
"Indian in the Cupboard, The (1995)",['Comedy'],"['Adventure', ""Children's"", 'Fantasy']"
Eye for an Eye (1996),['Thriller'],"['Drama', 'Thriller']"
Mr. Holland's Opus (1995),"['Comedy', 'Drama']",['Drama']
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),['Comedy'],['Comedy']
Two if by Sea (1996),"['Comedy', 'Romance']","['Comedy', 'Romance']"
Bio-Dome (1996),[],['Comedy']
Lawnmower Man 2: Beyond Cyberspace (1996),['Drama'],"['Sci-Fi', 'Thriller']"
Two Bits (1995),['Drama'],['Drama']
French Twist (Gazon maudit) (1995),"['Comedy', 'Romance']","['Comedy', 'Romance']"
Friday (1995),[],['Comedy']
From Dusk Till Dawn (1996),"['Action', 'Comedy']","['Action', 'Comedy', 'Crime', 'Horror', 'Thriller']"
Fair Game (1995),['Drama'],['Action']
Kicking and Screaming (1995),[],"['Comedy', 'Drama']"
"Misérables, Les (1995)",['Drama'],"['Drama', 'Musical']"
Bed of Roses (1996),['Drama'],"['Drama', 'Romance']"
Big Bully (1996),['Comedy'],"['Comedy', 'Drama']"
Screamers (1995),['Drama'],"['Sci-Fi', 'Thriller']"
Nico Icon (1995),['Drama'],['Documentary']
"Crossing Guard, The (1995)",['Drama'],['Drama']
"Juror, The (1996)",[],"['Drama', 'Thriller']"
"White Balloon, The (Badkonake Sefid ) (1995)",['Drama'],['Drama']
Things to Do in Denver when You're Dead (1995),['Drama'],"['Crime', 'Drama', 'Romance']"
Antonia's Line (Antonia) (1995),[],['Drama']
Once Upon a Time... When We Were Colored (1995),['Drama'],['Drama']
Last Summer in the Hamptons (1995),['Drama'],"['Comedy', 'Drama']"
Angels and Insects (1995),"['Drama', 'Romance']","['Drama', 'Romance']"
White Squall (1996),['Drama'],"['Adventure', 'Drama']"
Dunston Checks In (1996),['Comedy'],"[""Children's"", 'Comedy']"
Black Sheep (1996),[],['Comedy']
Nick of Time (1995),[],"['Action', 'Thriller']"
"Journey of August King, The (1995)",['Drama'],['Drama']
Mary Reilly (1996),['Drama'],"['Drama', 'Thriller']"
Vampire in Brooklyn (1995),['Comedy'],"['Comedy', 'Romance']"
Beautiful Girls (1996),"['Comedy', 'Drama']",['Drama']
Broken Arrow (1996),['Drama'],"['Action', 'Thriller']"
In the Bleak Midwinter (1995),[],['Comedy']
"Hate (Haine, La) (1995)",['Drama'],['Drama']
Shopping (1994),[],"['Action', 'Thriller']"
Heidi Fleiss: Hollywood Madam (1995),"['Comedy', 'Documentary']",['Documentary']
City Hall (1996),"['Drama', 'Romance', 'Thriller']","['Drama', 'Thriller']"
Bottle Rocket (1996),[],['Comedy']
Mr. Wrong (1996),['Comedy'],['Comedy']
Unforgettable (1996),[],['Thriller']
Happy Gilmore (1996),['Comedy'],['Comedy']
"Bridges of Madison County, The (1995)",['Drama'],"['Drama', 'Romance']"
Nobody Loves Me (Keiner liebt mich) (1994),"['Comedy', 'Drama']","['Comedy', 'Drama']"
Muppet Treasure Island (1996),"[""Children's"", 'Comedy']","['Adventure', ""Children's"", 'Comedy', 'Musical']"
Catwalk (1995),['Drama'],['Documentary']
Headless Body in Topless Bar (1995),[],['Comedy']
Braveheart (1995),['Drama'],"['Action', 'Drama', 'War']"
