title,recommended_genres
Toy Story (1995),['Drama']
Jumanji (1995),['Drama']
Grumpier Old Men (1995),['Comedy']
Waiting to Exhale (1995),"['Comedy', 'Drama']"
Father of the Bride Part II (1995),[]
Heat (1995),['Drama']
Sabrina (1995),['Drama']
Tom and Huck (1995),[]
Sudden Death (1995),['Drama']
GoldenEye (1995),['Drama']
"American President, The (1995)",['Drama']
Dracula: Dead and Loving It (1995),['Horror']
Balto (1995),['Drama']
Nixon (1995),['Drama']
Cutthroat Island (1995),[]
Casino (1995),['Drama']
Sense and Sensibility (1995),['Drama']
Four Rooms (1995),['Drama']
Ace Ventura: When Nature Calls (1995),['Comedy']
Money Train (1995),['Comedy']
Get Shorty (1995),['Drama']
Copycat (1995),['Drama']
Assassins (1995),['Drama']
Powder (1995),['Drama']
Leaving Las Vegas (1995),['Drama']
Othello (1995),['Drama']
Now and Then (1995),['Drama']
Persuasion (1995),['Drama']
"City of Lost Children, The (1995)",[]
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),['Drama']
Dangerous Minds (1995),['Drama']
Twelve Monkeys (1995),['Drama']
Wings of Courage (1995),"['Drama', 'Romance']"
Babe (1995),['Comedy']
Carrington (1995),['Drama']
Dead Man Walking (1995),['Drama']
Across the Sea of Time (1995),[]
It Takes Two (1995),['Comedy']
Clueless (1995),['Drama']
"Cry, the Beloved Country (1995)",['Drama']
Richard III (1995),[]
Dead Presidents (1995),[]
Restoration (1995),['Drama']
Mortal Kombat (1995),['Action']
To Die For (1995),['Drama']
How to Make an American Quilt (1995),['Drama']
Seven (Se7en) (1995),[]
Pocahontas (1995),['Drama']
When Night Is Falling (1995),['Drama']
"Usual Suspects, The (1995)",['Drama']
Guardian Angel (1994),['Drama']
Mighty Aphrodite (1995),[]
Lamerica (1994),[]
"Big Green, The (1995)",['Drama']
Georgia (1995),['Drama']
Kids of the Round Table (1995),[]
Home for the Holidays (1995),[]
"Postino, Il (The Postman) (1994)",['Drama']
"Confessional, The (Le Confessionnal) (1995)",['Drama']
"Indian in the Cupboard, The (1995)",['Comedy']
Eye for an Eye (1996),[]
Mr. Holland's Opus (1995),"['Comedy', 'Drama']"
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),['Comedy']
Two if by Sea (1996),"['Comedy', 'Drama']"
Bio-Dome (1996),['Drama']
Lawnmower Man 2: Beyond Cyberspace (1996),[]
Two Bits (1995),['Drama']
French Twist (Gazon maudit) (1995),['Comedy']
Friday (1995),[]
From Dusk Till Dawn (1996),"['Action', 'Comedy']"
Fair Game (1995),[]
Kicking and Screaming (1995),[]
"Misérables, Les (1995)",['Drama']
Bed of Roses (1996),['Drama']
Big Bully (1996),['Comedy']
Screamers (1995),['Drama']
Nico Icon (1995),['Drama']
"Crossing Guard, The (1995)",['Drama']
"Juror, The (1996)",[]
"White Balloon, The (Badkonake Sefid ) (1995)",['Drama']
Things to Do in Denver when You're Dead (1995),['Comedy']
Antonia's Line (Antonia) (1995),[]
Once Upon a Time... When We Were Colored (1995),['Drama']
Last Summer in the Hamptons (1995),['Drama']
Angels and Insects (1995),['Drama']
White Squall (1996),['Drama']
Dunston Checks In (1996),['Comedy']
Black Sheep (1996),[]
Nick of Time (1995),['Drama']
"Journey of August King, The (1995)",['Drama']
Mary Reilly (1996),['Drama']
Vampire in Brooklyn (1995),['Comedy']
Beautiful Girls (1996),['Drama']
Broken Arrow (1996),['Drama']
In the Bleak Midwinter (1995),[]
"Hate (Haine, La) (1995)",['Drama']
Shopping (1994),[]
Heidi Fleiss: Hollywood Madam (1995),['Comedy']
City Hall (1996),['Drama']
Bottle Rocket (1996),['Drama']
Mr. Wrong (1996),['Comedy']
Unforgettable (1996),['Drama']
Happy Gilmore (1996),['Comedy']
"Bridges of Madison County, The (1995)",['Drama']
Nobody Loves Me (Keiner liebt mich) (1994),['Drama']
Muppet Treasure Island (1996),"[""Children's"", 'Comedy']"
Catwalk (1995),['Drama']
Headless Body in Topless Bar (1995),[]
Braveheart (1995),['Drama']
Taxi Driver (1976),[]
Rumble in the Bronx (1995),[]
Before and After (1996),['Drama']
Margaret's Museum (1995),['Drama']
Happiness Is in the Field (1995),['Comedy']
Anne Frank Remembered (1995),['Drama']
"Young Poisoner's Handbook, The (1995)",[]
If Lucy Fell (1996),"['Comedy', 'Drama']"
"Steal Big, Steal Little (1995)",['Comedy']
Race the Sun (1996),['Drama']
"Boys of St. Vincent, The (1993)",['Drama']
Boomerang (1992),[]
Chungking Express (1994),['Drama']
"Star Maker, The (Uomo delle stelle, L') (1995)",[]
Flirting With Disaster (1996),['Drama']
"NeverEnding Story III, The (1994)","['Adventure', ""Children's""]"
"Silence of the Palace, The (Saimt el Qusur) (1994)",['Drama']
Jupiter's Wife (1994),[]
Pie in the Sky (1995),['Drama']
Angela (1995),['Drama']
Frankie Starlight (1995),['Drama']
Jade (1995),['Drama']
Nueba Yol (1995),['Drama']
Sonic Outlaws (1995),['Drama']
Down Periscope (1996),['Drama']
From the Journals of Jean Seberg (1995),[]
Man of the Year (1995),['Drama']
"Neon Bible, The (1995)",['Drama']
Target (1995),['Drama']
Up Close and Personal (1996),['Drama']
"Birdcage, The (1996)",[]
Shadows (Cienie) (1988),['Drama']
Gospa (1995),['Drama']
"Brothers McMullen, The (1995)",[]
Bad Boys (1995),['Drama']
"Amazing Panda Adventure, The (1995)",[]
"Basketball Diaries, The (1995)",['Drama']
"Awfully Big Adventure, An (1995)",['Comedy']
Amateur (1994),[]
Apollo 13 (1995),['Drama']
Rob Roy (1995),['Drama']
"Addiction, The (1995)",['Drama']
Batman Forever (1995),['Action']
Belle de jour (1967),['Drama']
Beyond Rangoon (1995),['Drama']
Blue in the Face (1995),[]
Canadian Bacon (1994),[]
Casper (1995),['Drama']
Clockers (1995),['Drama']
Congo (1995),['Drama']
Crimson Tide (1995),['Drama']
Crumb (1994),[]
Desperado (1995),['Drama']
Devil in a Blue Dress (1995),[]
Die Hard: With a Vengeance (1995),['Action']
"Doom Generation, The (1995)",[]
Feast of July (1995),['Drama']
First Knight (1995),[]
Free Willy 2: The Adventure Home (1995),"[""Children's""]"
Hackers (1995),['Drama']
Jeffrey (1995),['Drama']
Johnny Mnemonic (1995),['Drama']
Judge Dredd (1995),['Drama']
Jury Duty (1995),[]
Kids (1995),[]
Living in Oblivion (1995),['Comedy']
Lord of Illusions (1995),[]
Love & Human Remains (1993),['Drama']
Mad Love (1995),[]
Mallrats (1995),['Drama']
Mighty Morphin Power Rangers: The Movie (1995),"[""Children's""]"
Moonlight and Valentino (1995),[]
Mute Witness (1994),[]
Nadja (1994),[]
"Net, The (1995)",['Drama']
Nine Months (1995),[]
Party Girl (1995),['Comedy']
"Prophecy, The (1995)",['Drama']
Reckless (1995),['Drama']
Safe (1995),[]
"Scarlet Letter, The (1995)",['Drama']
"Show, The (1995)",['Drama']
Showgirls (1995),['Drama']
Smoke (1995),['Drama']
Something to Talk About (1995),['Comedy']
Species (1995),"['Horror', 'Sci-Fi']"
"Stars Fell on Henrietta, The (1995)",['Drama']
Strange Days (1995),[]
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",['Drama']
"Tie That Binds, The (1995)",[]
Three Wishes (1995),[]
Total Eclipse (1995),['Drama']
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",['Drama']
Under Siege 2: Dark Territory (1995),[]
Unstrung Heroes (1995),['Comedy']
Unzipped (1995),['Drama']
"Walk in the Clouds, A (1995)",['Drama']
Waterworld (1995),['Drama']
White Man's Burden (1995),['Drama']
Wild Bill (1995),[]
"Browning Version, The (1994)",[]
Bushwhacked (1995),['Drama']
Burnt By the Sun (Utomlyonnye solntsem) (1994),['Drama']
Before the Rain (Pred dozhdot) (1994),['Drama']
Before Sunrise (1995),['Drama']
Billy Madison (1995),['Drama']
"Babysitter, The (1995)",['Drama']
Boys on the Side (1995),['Drama']
"Cure, The (1995)",['Drama']
Castle Freak (1995),['Drama']
Circle of Friends (1995),['Drama']
Clerks (1994),[]
Don Juan DeMarco (1995),['Drama']
Disclosure (1994),[]
Dream Man (1995),['Drama']
Drop Zone (1994),[]
